threshold,precision,recall,f1,pred_positive_rate,pred_positive_count,model
0.1,0.05920132265038789,0.9558521560574949,0.11149700598802395,0.6015607069084232,15726,cb_depth7_lr003_l2_8
0.15,0.07725138711054204,0.9291581108829569,0.14264323429742296,0.44812944686711037,11715,cb_depth7_lr003_l2_8
0.2,0.09794681925277685,0.8963039014373717,0.1765955294831597,0.340945604773927,8913,cb_depth7_lr003_l2_8
0.25,0.1189083820662768,0.8767967145790554,0.20941638057871506,0.27473031902685335,7182,cb_depth7_lr003_l2_8
0.3,0.14040163376446563,0.8470225872689938,0.24087591240875914,0.22477239690918827,5876,cb_depth7_lr003_l2_8
0.35,0.1627334290991176,0.8141683778234087,0.2712502137848469,0.18640501874378396,4873,cb_depth7_lr003_l2_8
0.4,0.18236280853103284,0.7813141683778234,0.2957062366427045,0.15962818453064034,4173,cb_depth7_lr003_l2_8
0.45,0.2072072072072072,0.75564681724846,0.3252319929297393,0.13587330732155153,3552,cb_depth7_lr003_l2_8
0.5,0.23852596314907873,0.731006160164271,0.35968678959333167,0.11418407160890522,2985,cb_depth7_lr003_l2_8
0.55,0.26321974148061106,0.6899383983572895,0.381060391267366,0.09765893963736516,2553,cb_depth7_lr003_l2_8
0.6,0.2916858061552595,0.6519507186858317,0.4030466518565535,0.08327595440287659,2177,cb_depth7_lr003_l2_8
0.65,0.3291208791208791,0.6149897330595483,0.4287759484609878,0.06961976895417336,1820,cb_depth7_lr003_l2_8
0.7,0.3724456163480554,0.580082135523614,0.45363307908470496,0.058029225001912633,1517,cb_depth7_lr003_l2_8
0.75,0.41953562850280224,0.5379876796714579,0.47143499775078723,0.04777752276030908,1249,cb_depth7_lr003_l2_8
0.8,0.463768115942029,0.4928131416837782,0.4778496764559482,0.039591462015148036,1035,cb_depth7_lr003_l2_8
0.85,0.5350553505535055,0.446611909650924,0.4868494683827644,0.031099380307551067,813,cb_depth7_lr003_l2_8
0.9,0.5964630225080386,0.3809034907597536,0.4649122807017544,0.023793129829393314,622,cb_depth7_lr003_l2_8
0.95,0.7024793388429752,0.2618069815195072,0.381451009723261,0.01388570117053018,363,cb_depth7_lr003_l2_8
