roc_auc,pr_auc,precision,recall,f1,pred_positive_rate,pred_positive_count,support,positive_support,variant,segment,threshold
0.8922950095685535,0.4458246290434106,0.38714390065741416,0.5441478439425051,0.45241143832693126,0.05236783719684798,1369,26142,974,full_base,all_test,0.75
0.8922950095685535,0.4458246290434106,0.4406623735050598,0.4917864476386037,0.4648229015041242,0.04158059827098156,1087,26142,974,full_base,all_test,0.8
0.8922950095685535,0.4458246290434106,0.5023866348448688,0.4322381930184805,0.46467991169977924,0.03205569581516334,838,26142,974,full_base,all_test,0.85
0.8836895636088296,0.4001741971062247,0.3677277716794731,0.4948301329394387,0.42191435768261965,0.04025451813883611,911,22631,677,full_base,low_history_flag=1,0.75
0.8836895636088296,0.4001741971062247,0.42796005706134094,0.4431314623338257,0.43541364296081275,0.030975210993769608,701,22631,677,full_base,low_history_flag=1,0.8
0.8836895636088296,0.4001741971062247,0.49606299212598426,0.3722304283604136,0.4253164556962025,0.02244708585568468,508,22631,677,full_base,low_history_flag=1,0.85
0.8889234598630991,0.5535105690087119,0.425764192139738,0.6565656565656566,0.5165562913907285,0.13044716604955853,458,3511,297,full_base,low_history_flag=0,0.75
0.8889234598630991,0.5535105690087119,0.4637305699481865,0.6026936026936027,0.5241581259150805,0.10994018798063229,386,3511,297,full_base,low_history_flag=0,0.8
0.8889234598630991,0.5535105690087119,0.5121212121212121,0.569023569023569,0.5390749601275917,0.09399031614924523,330,3511,297,full_base,low_history_flag=0,0.85
0.9010522640881404,0.56022944199895,0.41161825726141077,0.7157287157287158,0.5226554267650158,0.1432136914666033,1205,8414,693,full_base,identity_present=1,0.75
0.9010522640881404,0.56022944199895,0.45956607495069035,0.6724386724386724,0.5459871118922085,0.120513429997623,1014,8414,693,full_base,identity_present=1,0.8
0.9010522640881404,0.56022944199895,0.5136476426799007,0.5974025974025974,0.552368245496998,0.095792726408367,806,8414,693,full_base,identity_present=1,0.85
0.8139666304070468,0.10397515433017952,0.2073170731707317,0.12099644128113879,0.15280898876404495,0.009250902527075812,164,17728,281,full_base,identity_present=0,0.75
0.8139666304070468,0.10397515433017952,0.1780821917808219,0.046263345195729534,0.07344632768361582,0.004117779783393502,73,17728,281,full_base,identity_present=0,0.8
0.8139666304070468,0.10397515433017952,0.21875,0.02491103202846975,0.04472843450479233,0.0018050541516245488,32,17728,281,full_base,identity_present=0,0.85
0.8888763778921718,0.41984063682377293,0.3819241982507289,0.5057915057915058,0.43521594684385384,0.03538636129165377,686,19386,518,full_base,tx_count_total<=2,0.75
0.8888763778921718,0.41984063682377293,0.44952380952380955,0.4555984555984556,0.45254074784276127,0.02708139894769421,525,19386,518,full_base,tx_count_total<=2,0.8
0.8888763778921718,0.41984063682377293,0.5267379679144385,0.3803088803088803,0.44170403587443946,0.019292272774166924,374,19386,518,full_base,tx_count_total<=2,0.85
0.8738794903926483,0.48446630229204585,0.3923865300146413,0.5877192982456141,0.47058823529411764,0.10109532267613973,683,6756,456,full_base,tx_count_total>2,0.75
0.8738794903926483,0.48446630229204585,0.43238434163701067,0.5328947368421053,0.4774066797642436,0.08318531675547661,562,6756,456,full_base,tx_count_total>2,0.8
0.8738794903926483,0.48446630229204585,0.4827586206896552,0.49122807017543857,0.48695652173913045,0.06867969212551805,464,6756,456,full_base,tx_count_total>2,0.85
