roc_auc,pr_auc,precision,recall,f1,pred_positive_rate,pred_positive_count,support,positive_support,model,split,elapsed_sec,best_iteration
0.8938006004169435,0.4467547568964236,0.2201120797011208,0.7258726899383984,0.3377926421404682,0.12286741641802464,3212,26142,974,catboost_reference,val,91.46823501586914,1421
0.8891185932790375,0.449348929450903,0.22525706940874035,0.7197125256673511,0.34312285854136076,0.11904215438757555,3112,26142,974,catboost_reference,test,91.46823501586914,1421
0.8844991431706245,0.4783997776363899,0.299170326988775,0.6293634496919918,0.40555739331789614,0.07837961900390177,2049,26142,974,lightgbm_default,val,51.88249087333679,1382
0.8687360159441081,0.4778541982182451,0.31832298136645965,0.6314168377823408,0.4232622161046111,0.07390406242827634,1932,26142,974,lightgbm_default,test,51.88249087333679,1382
0.8894421275476436,0.47843041177901985,0.26882160392798693,0.6745379876796714,0.3844353423054418,0.09348940402417566,2444,26142,974,lightgbm_tuned_small,val,69.249103307724,2678
0.8755086761521101,0.4714870600549108,0.2777053455019557,0.6560574948665298,0.3902290076335878,0.08801927932063347,2301,26142,974,lightgbm_tuned_small,test,69.249103307724,2678
0.8918729994804522,0.4628720534849315,0.23211920529801325,0.7197125256673511,0.3510265398097146,0.1155229133195624,3020,26142,974,xgboost_default,val,731.5534744262695,1970
0.8856062618546284,0.47268328660613307,0.23429541595925296,0.7084188911704312,0.35213064557285023,0.11265396679672558,2945,26142,974,xgboost_default,test,731.5534744262695,1970
0.8924859033536932,0.45852376190964667,0.2134998513232233,0.7371663244353183,0.33110445008070094,0.12864356208400277,3363,26142,974,xgboost_tuned_small,val,1035.7996232509613,2999
0.8879347417795942,0.46258911559786187,0.21842267406038202,0.7279260780287474,0.3360189573459716,0.12416800550837732,3246,26142,974,xgboost_tuned_small,test,1035.7996232509613,2999
