top_rate,top_k,precision_at_k,recall_at_k,fraud_found,total_fraud,model,split
0.01,262,0.7137404580152672,0.1919917864476386,187,974,catboost_reference,val
0.03,785,0.5184713375796178,0.41786447638603696,407,974,catboost_reference,val
0.05,1308,0.3967889908256881,0.5328542094455853,519,974,catboost_reference,val
0.1,2615,0.25391969407265774,0.6817248459958932,664,974,catboost_reference,val
0.15,3922,0.19020907700152984,0.7659137577002053,746,974,catboost_reference,val
0.01,262,0.7442748091603053,0.2002053388090349,195,974,catboost_reference,test
0.03,785,0.5273885350318471,0.42505133470225875,414,974,catboost_reference,test
0.05,1308,0.4013761467889908,0.5390143737166324,525,974,catboost_reference,test
0.1,2615,0.25544933078393883,0.6858316221765913,668,974,catboost_reference,test
0.15,3922,0.18816930137684854,0.757700205338809,738,974,catboost_reference,test
0.01,262,0.7786259541984732,0.20944558521560575,204,974,lightgbm_default,val
0.03,785,0.5439490445859873,0.4383983572895277,427,974,lightgbm_default,val
0.05,1308,0.4074923547400612,0.5472279260780287,533,974,lightgbm_default,val
0.1,2615,0.2497131931166348,0.6704312114989733,653,974,lightgbm_default,val
0.15,3922,0.18561958184599694,0.7474332648870636,728,974,lightgbm_default,val
0.01,262,0.8206106870229007,0.22073921971252566,215,974,lightgbm_default,test
0.03,785,0.5579617834394904,0.44969199178644764,438,974,lightgbm_default,test
0.05,1308,0.41896024464831805,0.5626283367556468,548,974,lightgbm_default,test
0.1,2615,0.2497131931166348,0.6704312114989733,653,974,lightgbm_default,test
0.15,3922,0.1807751147373789,0.7279260780287474,709,974,lightgbm_default,test
0.01,262,0.7633587786259542,0.2053388090349076,200,974,lightgbm_tuned_small,val
0.03,785,0.5426751592356688,0.43737166324435317,426,974,lightgbm_tuned_small,val
0.05,1308,0.404434250764526,0.5431211498973306,529,974,lightgbm_tuned_small,val
0.1,2615,0.25583173996175906,0.686858316221766,669,974,lightgbm_tuned_small,val
0.15,3922,0.1884242733299337,0.7587268993839835,739,974,lightgbm_tuned_small,val
0.01,262,0.7824427480916031,0.2104722792607803,205,974,lightgbm_tuned_small,test
0.03,785,0.554140127388535,0.446611909650924,435,974,lightgbm_tuned_small,test
0.05,1308,0.41284403669724773,0.5544147843942505,540,974,lightgbm_tuned_small,test
0.1,2615,0.2520076481835564,0.6765913757700205,659,974,lightgbm_tuned_small,test
0.15,3922,0.1820499745028047,0.7330595482546202,714,974,lightgbm_tuned_small,test
0.01,262,0.7633587786259542,0.2053388090349076,200,974,xgboost_default,val
0.03,785,0.5273885350318471,0.42505133470225875,414,974,xgboost_default,val
0.05,1308,0.3967889908256881,0.5328542094455853,519,974,xgboost_default,val
0.1,2615,0.25468451242829826,0.6837782340862423,666,974,xgboost_default,val
0.15,3922,0.1891891891891892,0.7618069815195072,742,974,xgboost_default,val
0.01,262,0.7709923664122137,0.20739219712525667,202,974,xgboost_default,test
0.03,785,0.5630573248407643,0.4537987679671458,442,974,xgboost_default,test
0.05,1308,0.4090214067278288,0.5492813141683778,535,974,xgboost_default,test
0.1,2615,0.25736137667304015,0.6909650924024641,673,974,xgboost_default,test
0.15,3922,0.1858745537990821,0.7484599589322382,729,974,xgboost_default,test
0.01,262,0.7442748091603053,0.2002053388090349,195,974,xgboost_tuned_small,val
0.03,785,0.5197452229299363,0.4188911704312115,408,974,xgboost_tuned_small,val
0.05,1308,0.40214067278287463,0.5400410677618069,526,974,xgboost_tuned_small,val
0.1,2615,0.25468451242829826,0.6837782340862423,666,974,xgboost_tuned_small,val
0.15,3922,0.19020907700152984,0.7659137577002053,746,974,xgboost_tuned_small,val
0.01,262,0.7557251908396947,0.2032854209445585,198,974,xgboost_tuned_small,test
0.03,785,0.5477707006369427,0.4414784394250513,430,974,xgboost_tuned_small,test
0.05,1308,0.40825688073394495,0.5482546201232033,534,974,xgboost_tuned_small,test
0.1,2615,0.25353728489483746,0.6806981519507187,663,974,xgboost_tuned_small,test
0.15,3922,0.18689444161142274,0.7525667351129364,733,974,xgboost_tuned_small,test
