model,split,top_rate,top_k,fraud_found,fraud_total,precision_at_k,recall_at_k
proxy_time_model,val,0.01,262,213,1324,0.8129770992366412,0.1608761329305136
proxy_time_model,val,0.03,785,512,1324,0.6522292993630573,0.3867069486404834
proxy_time_model,val,0.05,1308,658,1324,0.5030581039755352,0.49697885196374625
proxy_time_model,val,0.1,2615,874,1324,0.33422562141491396,0.6601208459214502
proxy_time_model,val,0.15,3922,970,1324,0.2473227944926058,0.7326283987915407
proxy_time_model,test,0.01,262,198,1198,0.7557251908396947,0.1652754590984975
proxy_time_model,test,0.03,785,436,1198,0.5554140127388535,0.3639398998330551
proxy_time_model,test,0.05,1308,581,1198,0.4441896024464832,0.48497495826377296
proxy_time_model,test,0.1,2615,760,1198,0.29063097514340347,0.6343906510851419
proxy_time_model,test,0.15,3922,869,1198,0.2215706272310046,0.7253756260434057
