metric,mean,std,min,max
seed,1178.8,860.0329644845016,42.0,2048.0
elapsed_sec,29.083185482025147,1.644371095627548,27.70536708831787,31.483304023742676
pr_auc,0.49340606955538957,0.002725581385581108,0.4895877873892466,0.4966652740942851
precision_0_5,0.7375120752583904,0.009081707532390385,0.7293447293447294,0.752906976744186
recall_0_5,0.2652977412731007,0.0018650823536534872,0.26283367556468173,0.2679671457905544
f1_0_5,0.3902159426140962,0.002750422295923086,0.3864150943396226,0.3930197268588771
pred_positive_rate,0.013403718154693595,0.0001544382926951751,0.013158901384744855,0.013579680208094254
roc_auc,0.8982451723188143,0.00038605496524414946,0.897720215429521,0.8986526557957629
partial_roc_auc_fpr_0_01,0.6412103195905539,0.0018110098687495596,0.6386723409108997,0.6428597761400472
partial_roc_auc_fpr_0_03,0.7115383483378677,0.0015982090766019437,0.7087708892451774,0.712778507779877
partial_roc_auc_fpr_0_05,0.743614278342384,0.0014825396940778065,0.74122513567668,0.7451423700149307
partial_roc_auc_fpr_0_1,0.7882645095293573,0.0009238799271365106,0.7867737214005747,0.7892524496273403
recall_at_fpr_0_01,0.4117043121149897,0.0025148765326315973,0.4086242299794661,0.41478439425051333
precision_at_fpr_0_01,0.6155937601112896,0.0016758532565711245,0.613251155624037,0.6171516079632465
recall_at_fpr_0_03,0.562422997946612,0.005305137857397881,0.555441478439425,0.5698151950718686
precision_at_fpr_0_03,0.42072998502869696,0.0020766685755402806,0.4180834621329212,0.42366412213740456
recall_at_fpr_0_05,0.6402464065708419,0.0022493739527933054,0.6375770020533881,0.6437371663244353
precision_at_fpr_0_05,0.3324471132145524,0.0012427944487562726,0.3304949441192123,0.33386923901393356
