t_control,t_block,accuracy,macro_f1,f1_action,f1_block,n_control_or_block,n_block,joint
0.582101408382244,0.9700871003607664,0.7029702970297029,0.45295996069761735,0.53125,0.0,33,4,0.5029965862743239
0.582101408382244,0.9742807429589224,0.7029702970297029,0.44975845410628024,0.53125,0.0,33,3,0.5015559083082222
0.582101408382244,0.9792218795423256,0.7029702970297029,0.4466619149441673,0.53125,0.0,33,2,0.5001624656852713
0.582101408382244,0.9891500456305996,0.7029702970297029,0.44366526414212243,0.53125,0.0,33,1,0.49881397282435114
0.582101408382244,1.000000001,0.7029702970297029,0.4407637451115712,0.53125,0.0,33,0,0.4975082892606031
0.582101408382244,0.9479440504109052,0.693069306930693,0.4480040681413679,0.53125,0.0,33,6,0.49730108808935813
0.6424180099493126,0.9700871003607664,0.7029702970297029,0.44472897994024746,0.5,0.0,29,4,0.49616764493350735
0.574586212375419,0.9700871003607664,0.693069306930693,0.4467964314679643,0.5230769230769231,0.0,34,4,0.4959403438940188
0.582101408382244,0.9535496400077382,0.693069306930693,0.44477761119440284,0.53125,0.0,33,5,0.49584918246322385
0.5100154947562139,0.9700871003607664,0.6831683168316832,0.4473970473970474,0.5428571428571428,0.0,39,4,0.4947232965054747
0.6424180099493126,0.9742807429589224,0.7029702970297029,0.4414822266934943,0.5,0.0,29,3,0.49470660597246846
0.574586212375419,0.9742807429589224,0.693069306930693,0.44369989230585133,0.5230769230769231,0.0,34,3,0.494546901271068
0.5100154947562139,0.9742807429589224,0.6831683168316832,0.4444444444444445,0.5428571428571428,0.0,39,3,0.4933946251768034
0.6424180099493126,0.9792218795423256,0.7029702970297029,0.43834939461329375,0.5,0.0,29,2,0.4932968315363782
0.574586212375419,0.9792218795423256,0.693069306930693,0.44070324150380663,0.5230769230769231,0.0,34,2,0.4931984084101479
0.6085510401795038,0.9700871003607664,0.693069306930693,0.4429008517324072,0.5079365079365079,0.0,32,4,0.49267329149897654
0.6697633696673224,0.9700871003607664,0.7029702970297029,0.43998951781970647,0.4827586206896552,0.0,27,4,0.4923107490482294
0.5100154947562139,0.9792218795423256,0.6831683168316832,0.4415799788934118,0.5428571428571428,0.0,39,2,0.4921056156788387
0.6424180099493126,0.9891500456305996,0.7029702970297029,0.435324591225514,0.5,0.0,29,1,0.49193567001187727
0.574586212375419,0.9891500456305996,0.693069306930693,0.43780172247325533,0.5230769230769231,0.0,34,1,0.4918927248463998
0.582101408382244,0.9323751487606444,0.6831683168316832,0.44268774703557306,0.53125,0.0,33,8,0.49144339705709694
0.6085510401795038,0.9742807429589224,0.693069306930693,0.4397837662073731,0.5079365079365079,0.0,32,3,0.49127060301271125
0.5100154947562139,0.9891500456305996,0.6831683168316832,0.4387997623291741,0.5428571428571428,0.0,39,1,0.49085451822493176
0.6697633696673224,0.9742807429589224,0.7029702970297029,0.4367283950617284,0.4827586206896552,0.0,27,3,0.4908432438071393
0.574586212375419,1.000000001,0.693069306930693,0.4349908759124088,0.5230769230769231,0.0,34,0,0.49062784389401887
0.6424180099493126,1.000000001,0.7029702970297029,0.4324023235457945,0.5,0.0,29,0,0.49062064955600354
0.574586212375419,0.9479440504109052,0.6831683168316832,0.4418155885560869,0.5230769230769231,0.0,34,6,0.4902336180490205
0.6424180099493126,0.9479440504109052,0.693069306930693,0.4390114270528833,0.5,0.0,29,6,0.49012939959954
0.582101408382244,0.9474635635708007,0.6831683168316832,0.4394409937888199,0.53125,0.0,33,7,0.48998235809605806
0.6085510401795038,0.9792218795423256,0.693069306930693,0.43677058353317344,0.5079365079365079,0.0,32,2,0.4899146708093214
0.5100154947562139,1.000000001,0.6831683168316832,0.43610013175230566,0.5428571428571428,0.0,39,0,0.4896396844653409
0.6697633696673224,0.9792218795423256,0.7029702970297029,0.4335858585858586,0.4827586206896552,0.0,27,2,0.48942910239299786
0.1441609026175004,0.9700871003607664,0.6732673267326733,0.44033677765021045,0.5555555555555556,0.0,41,4,0.4893506698545859
0.5100154947562139,0.9479440504109052,0.6732673267326733,0.443001443001443,0.5428571428571428,0.0,39,6,0.4892799279927993
0.6415777356955973,0.9700871003607664,0.693069306930693,0.4386187098953056,0.4918032786885246,0.0,30,4,0.4891330047474825
0.5711010087955255,0.9700871003607664,0.6831683168316832,0.44069431051108965,0.5151515151515151,0.0,35,4,0.48893650213623097
0.574586212375419,0.9535496400077382,0.6831683168316832,0.43869850303105284,0.5230769230769231,0.0,34,5,0.48883092956275526
0.6424180099493126,0.9535496400077382,0.693069306930693,0.4357503042949052,0.5,0.0,29,5,0.48866189435844987
0.6085510401795038,0.9891500456305996,0.693069306930693,0.43385619373353784,0.5079365079365079,0.0,32,1,0.4886031953994853
0.582101408382244,0.9190541810913913,0.6732673267326733,0.4438761011651038,0.53125,0.0,33,12,0.4885128098807323
0.6788185981957411,0.9700871003607664,0.7029702970297029,0.43477482317127764,0.4642857142857143,0.0,25,4,0.48811684581604237
0.1441609026175004,0.9742807429589224,0.6732673267326733,0.43755656108597285,0.5555555555555556,0.0,41,3,0.488099572400679
0.6697633696673224,0.9891500456305996,0.7029702970297029,0.4305555555555555,0.4827586206896552,0.0,27,1,0.4880654660293615
0.5100154947562139,0.9535496400077382,0.6732673267326733,0.44002525252525254,0.5428571428571428,0.0,39,5,0.4879406422785135
0.5076696618256608,0.9700871003607664,0.6732673267326733,0.4412830596036703,0.5352112676056338,0.0,40,4,0.48774206793865066
0.6415777356955973,0.9742807429589224,0.693069306930693,0.4354858778151051,0.4918032786885246,0.0,30,3,0.4877232303113923
0.5711010087955255,0.9742807429589224,0.6831683168316832,0.4376976597090449,0.5151515151515151,0.0,35,3,0.4875880092753108
0.6085510401795038,1.000000001,0.693069306930693,0.43103581650808387,0.5079365079365079,0.0,32,0,0.4873340256480311
0.582101408382244,0.9236168235330604,0.6732673267326733,0.4403567447045708,0.53125,0.0,33,11,0.4869290994734925
0.1441609026175004,0.9792218795423256,0.6732673267326733,0.4348569305091044,0.5555555555555556,0.0,41,2,0.48688473864108817
